model,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,precision,recall,F1-score,TP,FP,FN,average IOU,mAP
yolov3-tiny-30obj-labelfixed_70000,48.5,17.16,22.76,25.09,14.1,10.9,9.96,28.49,19.17,34.66,45.86,28.61,60.47,51.03,47.9,48.5,32.28,4.1,33.57,36.4,6.77,30.43,38.87,9.85,1.05,0.37,0.0,0.28,1.29,0.0,,,,,,,,,,,,,,,,,,,,,0.78,0.21,0.33,37279.0,10774.0,141737.0,57.5,23.613899999999997
yolov3-30obj_85000,64.45,39.96,43.36,43.25,28.46,15.2,15.94,40.32,33.02,47.01,62.64,39.6,70.05,64.68,64.74,55.56,47.68,5.06,41.3,56.82,11.85,10.57,20.29,9.36,0.05,0.6,0.0,0.08,0.77,0.0,,,,,,,,,,,,,,,,,,,,,0.64,0.41,0.5,73645.0,40858.0,105371.0,49.44,31.0888
yolov3-50obj_105000,63.35,39.84,78.46,66.4,22.4,39.04,17.01,44.93,31.65,40.88,45.57,45.59,30.89,16.13,18.98,41.46,31.56,43.89,35.02,55.68,35.44,68.61,65.01,65.21,55.83,29.43,57.24,35.73,57.4,44.42,11.27,48.55,53.57,14.43,60.33,44.46,23.5,54.33,3.03,19.43,20.45,24.06,29.99,13.93,15.0,21.83,23.6,23.97,25.36,29.64,0.68,0.39,0.5,85020.0,40478.0,132706.0,51.76,37.676500000000004
yolov3-tiny-30obj_final,48.73,18.08,24.23,24.91,14.57,7.78,4.96,28.44,17.79,35.36,45.75,27.05,61.34,55.17,48.88,49.29,35.34,6.2,33.2,36.33,7.91,8.24,14.14,4.99,0.23,0.09,0.0,0.14,0.74,0.0,,,,,,,,,,,,,,,,,,,,,0.66,0.23,0.34,41461.0,20889.0,137555.0,47.98,21.9956
yolov3-tiny-30obj-labelfixed_55000,46.36,17.6,22.08,25.54,13.29,7.92,9.86,26.06,18.79,31.12,41.53,24.73,58.71,49.66,46.52,41.0,30.45,5.18,32.01,34.11,6.06,28.39,38.4,10.12,0.99,0.37,0.0,0.11,1.05,0.0,,,,,,,,,,,,,,,,,,,,,0.72,0.21,0.33,37628.0,14350.0,141388.0,52.08,22.2677
yolov3-tiny-30obj-labelfixed_95000,49.11,20.2,24.09,26.56,16.12,9.03,7.28,29.54,18.55,34.61,47.14,30.38,63.8,55.2,50.34,48.63,35.66,6.58,36.63,36.85,6.87,31.77,40.92,10.23,1.69,0.61,0.0,0.49,1.3,0.0,,,,,,,,,,,,,,,,,,,,,0.77,0.23,0.35,40863.0,12138.0,138153.0,56.99,24.672900000000002
yolov2-tiny-50obj_final,31.89,20.06,57.97,42.62,10.27,17.42,5.71,7.74,17.43,12.3,16.86,18.02,10.67,9.42,3.81,22.85,13.31,31.46,15.78,39.05,21.38,54.14,47.17,43.28,14.39,5.39,29.88,12.74,36.95,27.37,10.65,25.22,29.32,1.47,28.63,17.2,11.13,35.01,0.08,4.25,9.93,12.69,22.48,14.06,15.15,10.71,16.67,27.16,24.35,21.07,0.24,0.31,0.27,67515.0,208969.0,150211.0,16.47,20.691699999999997
yolov2-tiny-50obj_90000,33.92,20.47,58.43,43.36,10.17,15.3,4.82,13.34,18.69,12.71,16.0,18.77,9.26,1.74,3.92,22.54,10.47,31.83,16.06,40.72,25.1,55.06,47.73,41.94,15.47,2.91,32.01,13.92,38.0,28.2,10.16,25.18,25.73,1.13,32.8,17.07,11.75,36.69,0.04,2.64,12.82,15.07,22.46,15.05,18.88,10.91,15.49,30.1,24.32,23.4,0.24,0.34,0.28,74283.0,231364.0,143443.0,16.46,21.0908
yolov3-50obj_120000,63.39,41.09,81.14,66.61,23.8,41.52,18.38,44.03,30.19,39.62,44.89,44.15,29.11,20.34,16.23,42.89,34.78,47.61,34.32,57.62,35.65,72.67,65.23,65.0,56.39,30.09,58.31,37.51,60.33,48.22,10.22,47.67,56.21,8.25,66.02,44.6,24.97,51.53,0.61,20.56,21.3,28.75,31.94,12.17,17.06,22.14,26.26,27.41,33.25,36.66,0.65,0.41,0.51,90243.0,48968.0,127483.0,49.78,38.7731
yolov3-30obj_95000,63.24,35.98,43.26,44.72,24.62,17.03,16.07,40.4,24.2,51.08,60.53,36.22,66.13,62.93,63.03,59.69,38.06,2.73,44.11,51.64,10.91,11.57,35.45,9.57,0.12,0.28,0.0,0.31,0.95,0.0,,,,,,,,,,,,,,,,,,,,,0.62,0.4,0.49,72367.0,44404.0,106649.0,47.6,30.4946
yolov3-50obj_125000,57.73,40.89,67.62,64.88,23.61,37.33,17.11,39.61,28.37,36.46,40.27,41.87,25.52,16.13,17.61,39.55,21.61,51.28,36.69,56.88,31.19,69.77,66.27,65.9,51.47,28.09,57.42,33.5,58.98,42.14,10.35,41.83,55.77,10.13,67.83,38.7,28.63,49.39,4.55,15.8,16.25,26.23,27.93,13.04,15.52,20.91,23.91,20.26,31.9,28.28,0.54,0.43,0.47,92551.0,80338.0,125175.0,40.3,36.259
yolov3-50obj_115000,62.26,42.02,80.09,65.2,25.02,40.73,17.96,44.57,38.83,41.49,46.38,45.04,27.69,18.64,16.23,41.72,34.27,50.99,37.28,60.89,38.84,72.95,65.26,67.85,57.24,33.0,61.29,36.29,62.45,45.6,11.91,48.41,56.77,13.6,67.85,45.4,30.08,50.83,3.41,19.27,20.41,27.34,32.84,13.86,20.58,21.17,24.67,27.79,29.87,29.59,0.67,0.4,0.5,87720.0,43132.0,130006.0,51.65,39.474399999999996
yolov3-tiny-30obj-labelfixed_final,48.8,20.89,25.16,27.0,14.51,11.15,9.81,29.83,20.16,37.29,45.77,28.31,62.47,54.47,51.63,52.71,35.46,4.93,34.31,37.76,9.75,31.23,40.44,10.04,0.36,0.36,0.0,0.24,0.9,0.0,,,,,,,,,,,,,,,,,,,,,0.79,0.19,0.31,34745.0,9064.0,144271.0,59.12,24.8591
yolov3-50obj_112500,58.53,39.56,63.95,59.85,21.51,34.4,16.08,41.52,24.96,38.4,43.42,41.76,28.03,18.74,16.82,38.31,30.98,45.28,32.97,56.35,27.63,66.95,63.13,63.21,55.49,28.95,54.75,35.8,57.46,41.77,10.25,42.5,50.99,14.61,58.2,40.39,26.89,48.53,0.91,18.26,17.37,26.89,24.81,9.55,10.04,17.61,23.28,19.57,22.2,26.99,0.61,0.38,0.47,82720.0,52862.0,135006.0,46.44,35.128
yolov3-30obj_75000,63.18,40.47,43.49,43.77,25.75,17.57,14.99,41.35,33.26,48.92,62.19,40.12,69.34,65.45,65.06,58.68,46.08,4.94,46.11,53.43,15.61,15.09,38.91,1.64,0.09,0.56,0.0,0.07,0.85,0.0,,,,,,,,,,,,,,,,,,,,,0.62,0.42,0.5,74906.0,45043.0,104110.0,47.94,31.9004
yolov2-tiny-50obj_70000,33.83,19.61,59.33,42.44,9.99,16.18,2.0,6.23,17.64,12.2,14.64,18.56,10.61,3.43,3.17,21.93,13.4,30.16,14.33,42.15,23.23,53.04,45.41,40.49,10.7,1.71,30.36,12.18,34.77,27.21,2.82,23.4,24.15,1.68,35.46,18.19,11.33,36.02,0.02,3.23,3.17,10.69,22.17,9.42,19.64,10.27,12.45,21.85,21.09,21.56,0.24,0.32,0.28,70394.0,218710.0,147332.0,16.42,19.5909
yolov3-50obj_80000,64.11,35.66,72.22,61.49,20.08,33.31,15.88,39.14,31.92,36.0,44.23,43.56,25.64,13.97,16.23,41.31,29.39,44.19,33.43,58.01,36.62,72.97,63.03,65.09,51.66,24.75,54.71,34.34,60.81,42.78,7.54,46.01,53.99,11.69,62.41,38.49,19.53,49.96,1.52,14.64,19.66,24.02,29.89,11.74,17.78,20.76,27.09,34.24,35.55,34.64,0.59,0.43,0.5,93845.0,65679.0,123881.0,44.19,36.553799999999995
